Sr,Name,ItemName,VariantOf,ItemGroup,StandardSellingRate,Brand
1,HOCB60-PC,HOCUT B60 205L,,Coolant,1525.19,Houghton
2,HOCB60AU-TL,HOCUT B60-AU  1000L,,Coolant,5688.54,
3,HOCB60AU-PC,HOCUT B60-AU  20L,,Coolant,133.89,
4,HOC795MPAU-TL,HOCUT 795MP-AU  1000L,,Coolant,8967.51,
5,HOC795MPAU-PC,HOCUT 795MP-AU  20L,,Coolant,205.73,
6,HOC795MPAU-DL,HOCUT 795MP-AU  205L,,Coolant,1900,
7,HOC795AU-TL,HOCUT 795-AU  1000L,,Coolant,8641.57,
8,HOC795AU-PC,HOCUT 795-AU  20L,,Coolant,198.93,
9,HOC795AU-DL,HOCUT 795-AU  205L,,Coolant,1833.01,
10,HOC787BAU-TL,HOCUT 787B-AU  1000L,,Coolant,7880.28,
11,HOC787BAU-PC,HOCUT 787B-AU  20L,,Coolant,180.54,
12,HOC767BAU-PC,HOCUT 767B-AU  20L,,Coolant,167.09,
13,HOC767BAU-DL,HOCUT 767B-AU  205L,,Coolant,1284.83,
14,HOC807-TL,HOCUT 807  1000L,,Coolant,5962.61,
15,HOC797BU-TL,HOCUT 797BU  1000L,,Coolant,6845.42,
16,HOC797BU-5L,HOCUT 797BU  5L  ,,Coolant,36.4,
17,HOC795MPB-TL,HOCUT 795MP-B  1000L,,Coolant,9009.93,
18,HOC795MPB-DL,HOCUT 795MP-B  205L,,Coolant,1908.55,
19,HOC795B-TL,HOCUT 795B  1000L,,Coolant,9694.89,
20,HOC795B-PC,HOCUT 795B  20L,,Coolant,220.08,
21,HOC795B-DL,HOCUT 795B  205L,,Coolant,2049.15,
22,HOC400K-TL,HOCUT 400K  1000L,,Coolant,6181.86,
23,HOCB60-DL,HOCUT B60 20L Soluble Cutting Fluid,,Coolant,162.7,Houghton
24,HOC400K-DL,HOCUT 400K 205L,,Coolant,1275.93,Houghton
25,HOC795MPB-PC,HOCUT 795MP-B 20L,,Coolant,180.26,Houghton
26,HOC797BU-DL,HOCUT 797BU 205L,,Coolant,1492.43,Houghton
27,HOC400K-PC,HOCUT 400K 20L,,Coolant,136.47,Houghton
28,HOC797BU-PC,HOCUT 797BU 20L,,Coolant,159.53,Houghton
29,HOC807-PC,HOCUT 807 20L,,Coolant,161.57,Houghton
30,HOC807-DL,HOCUT 807 205L,,Coolant,1525.19,Houghton
31,HOC787BAU-DL,HOCUT 787B 205L,,Coolant,1831.1,Houghton
